,Unnamed: 0,date,open,high,low,close,volume
1861,2342,2023-05-26 20:15:00+00:00,193.28,193.29,193.25,193.29,6962
1862,2343,2023-05-26 20:16:00+00:00,193.25,193.25,193.2,193.25,5347
1863,2344,2023-05-26 20:17:00+00:00,193.26,193.28,193.21,193.25,2038
1864,2345,2023-05-26 20:18:00+00:00,193.28,193.28,193.22,193.22,1646
1865,2346,2023-05-26 20:19:00+00:00,193.21,193.25,193.17,193.25,3160
1866,2347,2023-05-26 20:20:00+00:00,193.25,193.26,193.23,193.25,3999
1867,2348,2023-05-26 20:21:00+00:00,193.2,193.29,193.2,193.23,6958
1868,2349,2023-05-26 20:22:00+00:00,193.23,193.27,193.23,193.27,3722
1869,2350,2023-05-26 20:23:00+00:00,193.27,193.34,193.27,193.34,5696
1870,2351,2023-05-26 20:24:00+00:00,193.34,193.35,193.3,193.33,4523
1871,2352,2023-05-26 20:25:00+00:00,193.31,193.32,193.26,193.26,7589
1872,2353,2023-05-26 20:26:00+00:00,193.3,193.31,193.26,193.26,2488
1873,2354,2023-05-26 20:27:00+00:00,193.28,193.28,193.2,193.2,4348
1874,2355,2023-05-26 20:28:00+00:00,193.25,193.3,193.21,193.21,4597
1875,2356,2023-05-26 20:29:00+00:00,193.29,193.3,193.26,193.26,760
1876,2357,2023-05-26 20:30:00+00:00,193.3,193.31,193.3,193.3,4366
1877,2358,2023-05-26 20:31:00+00:00,193.3,193.35,193.3,193.34,5154
1878,2359,2023-05-26 20:32:00+00:00,193.34,193.39,193.34,193.35,7783
1879,2360,2023-05-26 20:33:00+00:00,193.35,193.35,193.31,193.31,4454
1880,2361,2023-05-26 20:34:00+00:00,193.32,193.33,193.3,193.32,5698
1881,2362,2023-05-26 20:35:00+00:00,193.32,193.35,193.3,193.3,5423
1882,2363,2023-05-26 20:36:00+00:00,193.31,193.39,193.31,193.39,3813
1883,2364,2023-05-26 20:37:00+00:00,193.38,193.46,193.37,193.46,5421
1884,2365,2023-05-26 20:38:00+00:00,193.46,193.7,193.45,193.65,20814
1885,2366,2023-05-26 20:39:00+00:00,193.68,193.88,193.55,193.88,8035
1886,2367,2023-05-26 20:40:00+00:00,193.72,193.82,193.7,193.75,6923
1887,2368,2023-05-26 20:41:00+00:00,193.76,193.76,193.58,193.58,6084
1888,2369,2023-05-26 20:42:00+00:00,193.65,193.7,193.57,193.63,3994
1889,2370,2023-05-26 20:43:00+00:00,193.62,193.7,193.6,193.65,4911
1890,2371,2023-05-26 20:44:00+00:00,193.6,193.65,193.58,193.64,3814
1891,2372,2023-05-26 20:45:00+00:00,193.55,193.65,193.55,193.65,3302
1892,2373,2023-05-26 20:46:00+00:00,193.57,193.65,193.55,193.6,2935
1893,2374,2023-05-26 20:47:00+00:00,193.6,193.63,193.6,193.63,1665
1894,2375,2023-05-26 20:48:00+00:00,193.63,193.7,193.63,193.66,4349
1895,2376,2023-05-26 20:49:00+00:00,193.68,193.68,193.63,193.68,2400
1896,2377,2023-05-26 20:50:00+00:00,193.65,193.73,193.65,193.73,3004
1897,2378,2023-05-26 20:51:00+00:00,193.77,193.77,193.74,193.74,3350
1898,2379,2023-05-26 20:52:00+00:00,193.74,193.83,193.72,193.83,3588
1899,2380,2023-05-26 20:53:00+00:00,193.77,193.85,193.77,193.8,3823
1900,2381,2023-05-26 20:54:00+00:00,193.83,193.85,193.77,193.85,3160
1901,2382,2023-05-26 20:55:00+00:00,193.84,193.93,193.8,193.93,3374
1902,2383,2023-05-26 20:56:00+00:00,193.92,194,193.17,194,13357
1903,2384,2023-05-26 20:57:00+00:00,194,194.1,194,194,8529
1904,2385,2023-05-26 20:58:00+00:00,194.01,194.1,194.01,194.05,5548
1905,2386,2023-05-26 20:59:00+00:00,194.09,194.1,194,194.06,6975
1906,2387,2023-05-26 21:00:00+00:00,194.07,194.22,194,194.22,12924
1907,2388,2023-05-26 21:01:00+00:00,194.12,194.37,194.12,194.34,9275
1908,2389,2023-05-26 21:02:00+00:00,194.32,194.4,194.23,194.39,14389
1909,2390,2023-05-26 21:03:00+00:00,194.38,194.47,194.35,194.4,6257
1910,2391,2023-05-26 21:04:00+00:00,194.4,194.4,194.3,194.38,4204
1911,2392,2023-05-26 21:05:00+00:00,194.4,194.4,194.32,194.36,3069
1912,2393,2023-05-26 21:06:00+00:00,194.35,194.44,194.35,194.43,5240
1913,2394,2023-05-26 21:07:00+00:00,194.43,194.43,194.13,194.15,12368
1914,2395,2023-05-26 21:08:00+00:00,194.16,194.26,194.01,194.01,9913
